phase,condition,added_memories,seed,status,exact,oracle,decode_tokens,total_ms,stdout_sha256
ladder,real_harvest_order,0,,PASS,true,OK,350,46282,70d2991bc56948c9a8e90d31a8dec3eb4e909b8ad9c7a67712de2b00e8ebcb5a
ladder,real_harvest_order,1,,PASS,true,OK,350,48605,70d2991bc56948c9a8e90d31a8dec3eb4e909b8ad9c7a67712de2b00e8ebcb5a
ladder,real_harvest_order,2,,PASS,true,OK,350,46345,70d2991bc56948c9a8e90d31a8dec3eb4e909b8ad9c7a67712de2b00e8ebcb5a
ladder,real_harvest_order,4,,PASS,true,OK,350,48178,70d2991bc56948c9a8e90d31a8dec3eb4e909b8ad9c7a67712de2b00e8ebcb5a
ladder,real_harvest_order,8,,PASS,true,OK,350,46692,70d2991bc56948c9a8e90d31a8dec3eb4e909b8ad9c7a67712de2b00e8ebcb5a
ladder,real_harvest_order,16,,PASS,true,OK,350,46308,70d2991bc56948c9a8e90d31a8dec3eb4e909b8ad9c7a67712de2b00e8ebcb5a
ladder,real_harvest_order,32,,PASS,true,OK,350,47132,2091fad745577888a5cae84d9171c233cb65f1687f83e0a7263460770fca4312
ladder,real_harvest_order,40,,FAIL,false,OK,469,61951,ccd5995b42b6b21a26ba9b99f1eef35417053460b2f092504b6523795df22fd6
ladder,real_harvest_order,44,,FAIL,false,OK,469,61813,ccd5995b42b6b21a26ba9b99f1eef35417053460b2f092504b6523795df22fd6
ladder,real_harvest_order,48,,FAIL,false,OK,469,61761,ccd5995b42b6b21a26ba9b99f1eef35417053460b2f092504b6523795df22fd6
ladder,real_harvest_order,56,,FAIL,false,OK,469,60764,ccd5995b42b6b21a26ba9b99f1eef35417053460b2f092504b6523795df22fd6
filler,hex_set_1,32,,FAIL,false,OK,475,60548,011a0728a3bc9a8fd1a06d73def7206c6eb347e0e0e0db80aa3a5f827be53f36
filler,hex_set_1,40,,FAIL,false,OK,300,39687,84d25704d0bb180e097b69f1fe30bc491040be7f629e5f968f1d197d9bbfc4b0
filler,hex_set_1,48,,FAIL,false,OK,609,77019,20c1b097566d847ca7b710197b826539c4b0a5aff03aa9ba9eaea59b45250a5e
filler,hex_set_1,56,,FAIL,false,OK,293,40552,6e53f7ecdbc7234d4d1305f59a483d4f0242e2574033e2f6ad2d8e175e74ea3b
filler,hex_set_2,56,,FAIL,false,OK,407,53487,1e9c5225a742e4ed110cf47bca616bd2533a77a4ef0a756f2d95270de9c14b3f
filler,plain_english,32,,FAIL,false,OK,472,61852,2fadf9950475af06fb02896999cf6711cd35a2042aadc018b8cdf21a3d885b1f
filler,plain_english,56,,FAIL,false,OK,546,72534,bdc4d0e46b5a776d1499a8254a2f1a0c7d79bec3412910af5c07931c4d34110f
shuffle,real_56,56,1729,PASS,true,OK,361,47333,8aa2de6666d370396dff7e258361d0e23bf0ee4397a13bdd7228e980f28e08f7
shuffle,real_56,56,11,FAIL,false,OK,469,60419,2ceca8d082361c048e97fe4839c3ed0deb5aa4d998f2204353703a7d22ba15cb
shuffle,real_56,56,227,FAIL,false,OK,469,61292,ccd5995b42b6b21a26ba9b99f1eef35417053460b2f092504b6523795df22fd6
shuffle,real_56,56,3313,FAIL,false,OK,469,60844,ccd5995b42b6b21a26ba9b99f1eef35417053460b2f092504b6523795df22fd6
shuffle,real_56,56,44497,FAIL,false,OK,375,49562,c9949440de2b5b3f5d4cc2edf895e4040468f3060a8357ed005256ee98d22a9d
shuffle,real_56,56,501013,PASS,true,OK,361,48185,8aa2de6666d370396dff7e258361d0e23bf0ee4397a13bdd7228e980f28e08f7
